Country Name,Region,Year,Index
India,South Asia,1988,4.409688097
Japan,East Asia,1988,8.534231448
"Korea, Rep.",East Asia,1988,5.325207862
Thailand,Southeast Asia,1988,4.360792066
Bangladesh,South Asia,1989,3.231735691
Cyprus,West Asia,1989,2.30044917
India,South Asia,1989,5.583791299
Indonesia,Southeast Asia,1989,4.238473528
Japan,East Asia,1989,13.49586058
"Korea, Rep.",East Asia,1989,7.746981768
Malaysia,Southeast Asia,1989,4.271767067
Oman,West Asia,1989,2.07593417
Singapore,Southeast Asia,1989,6.387775949
Thailand,Southeast Asia,1989,5.675739965
Turkey,West Asia,1989,3.69950604
Bangladesh,South Asia,1990,3.127789047
Cyprus,West Asia,1990,2.3152179
India,South Asia,1990,6.220955148
Indonesia,Southeast Asia,1990,4.497990029
Japan,East Asia,1990,15.04819624
"Korea, Rep.",East Asia,1990,8.725629467
Malaysia,Southeast Asia,1990,4.670473821
Oman,West Asia,1990,2.046165553
Singapore,Southeast Asia,1990,7.124926506
Sri Lanka,South Asia,1990,3.395281637
Thailand,Southeast Asia,1990,6.070280714
Turkey,West Asia,1990,3.704614628
Bangladesh,South Asia,1991,3.134534525
Cyprus,West Asia,1991,2.232880926
India,South Asia,1991,6.560652649
Indonesia,Southeast Asia,1991,4.766313875
Japan,East Asia,1991,15.93114745
"Korea, Rep.",East Asia,1991,9.09705016
Malaysia,Southeast Asia,1991,4.945595505
Oman,West Asia,1991,2.051125989
Saudi Arabia,West Asia,1991,2.417512395
Singapore,Southeast Asia,1991,7.110266334
Sri Lanka,South Asia,1991,3.406349206
Thailand,Southeast Asia,1991,6.391911828
Turkey,West Asia,1991,3.768580348
United Arab Emirates,West Asia,1991,2.554634855
Bangladesh,South Asia,1992,3.026484278
Brunei,Southeast Asia,1992,1.525660727
China,East Asia,1992,12.15325058
Cyprus,West Asia,1992,2.17426674
India,South Asia,1992,7.436595013
Indonesia,Southeast Asia,1992,5.303057485
Japan,East Asia,1992,17.94925298
"Korea, Rep.",East Asia,1992,10.10424573
Malaysia,Southeast Asia,1992,5.608872765
Myanmar,Southeast Asia,1992,2.275821825
Oman,West Asia,1992,1.752278976
Saudi Arabia,West Asia,1992,2.336148119
Singapore,Southeast Asia,1992,8.069999288
Sri Lanka,South Asia,1992,3.396588773
