Reporter,ReporterISO3,ReporterRegion,Year,Trade Flow Selection
Nepal,NPL,South Asia,2022,1300469.756
Maldives,MDV,South Asia,2022,158399.8916
Sri Lanka,LKA,South Asia,2022,13592124.43
Pakistan,PAK,South Asia,2022,30769091.07
India,IND,South Asia,2022,452684213.6
United Arab Emirates,ARE,Middle East & North Africa,2022,515621043.2
Kuwait,KWT,Middle East & North Africa,2022,99775063.59
"Iran, Islamic Rep.",IRN,Middle East & North Africa,2022,80900398.25
Bahrain,BHR,Middle East & North Africa,2022,22252183.29
Lebanon,LBN,Middle East & North Africa,2022,3862245.374
Jordan,JOR,Middle East & North Africa,2022,12779806.64
Oman,OMN,Middle East & North Africa,2022,66063317.96
Israel,ISR,Middle East & North Africa,2022,72568869
Qatar,QAT,Middle East & North Africa,2022,130964472.6
Uzbekistan,UZB,Europe & Central Asia,2022,15286928.44
Tajikistan,TJK,Europe & Central Asia,2022,1669060.47
Armenia,ARM,Europe & Central Asia,2022,5364133.602
Kyrgyz Republic,KGZ,Europe & Central Asia,2022,2254702.312
Cyprus,CYP,Europe & Central Asia,2022,4411253.801
Georgia,GEO,Europe & Central Asia,2022,5583425.394
Azerbaijan,AZE,Europe & Central Asia,2022,38146430.73
Kazakhstan,KAZ,Europe & Central Asia,2022,76139804.97
Turkey,TUR,Europe & Central Asia,2022,254169515.4
Italy,ITA,Europe & Central Asia,2022,659379190.7
Myanmar,MMR,East Asia & Pacific,2022,17084512.89
Mongolia,MNG,East Asia & Pacific,2022,12557706.71
Cambodia,KHM,East Asia & Pacific,2022,20575772.75
Brunei,BRN,East Asia & Pacific,2022,14230238.31
Philippines,PHL,East Asia & Pacific,2022,78928518.09
Vietnam,VNM,East Asia & Pacific,2022,370909157.4
Indonesia,IDN,East Asia & Pacific,2022,291979090.6
Malaysia,MYS,East Asia & Pacific,2022,352188166.3
Thailand,THA,East Asia & Pacific,2022,287424113.1
Singapore,SGP,East Asia & Pacific,2022,514966127
"Hong Kong, China",HKG,East Asia & Pacific,2022,610138354.3
"Korea, Rep.",KOR,East Asia & Pacific,2022,683549427.8
Japan,JPN,East Asia & Pacific,2022,746670447.8
China,CHN,East Asia & Pacific,2022,3593601436
