country,year,value,tariff_type
Afghanistan,1988,,Dutiable TL %
Afghanistan,1988,,Duty-Free TL %
Afghanistan,1988,,Specific TL %
Afghanistan,1989,,Dutiable TL %
Afghanistan,1989,,Duty-Free TL %
Afghanistan,1989,,Specific TL %
Afghanistan,1990,,Dutiable TL %
Afghanistan,1990,,Duty-Free TL %
Afghanistan,1990,,Specific TL %
Afghanistan,1991,,Dutiable TL %
Afghanistan,1991,,Duty-Free TL %
Afghanistan,1991,,Specific TL %
Afghanistan,1992,,Dutiable TL %
Afghanistan,1992,,Duty-Free TL %
Afghanistan,1992,,Specific TL %
Afghanistan,1993,,Dutiable TL %
Afghanistan,1993,,Duty-Free TL %
Afghanistan,1993,,Specific TL %
Afghanistan,1994,,Dutiable TL %
Afghanistan,1994,,Duty-Free TL %
Afghanistan,1994,,Specific TL %
Afghanistan,1995,,Dutiable TL %
Afghanistan,1995,,Duty-Free TL %
Afghanistan,1995,,Specific TL %
Afghanistan,1996,,Dutiable TL %
Afghanistan,1996,,Duty-Free TL %
Afghanistan,1996,,Specific TL %
Afghanistan,1997,,Dutiable TL %
Afghanistan,1997,,Duty-Free TL %
Afghanistan,1997,,Specific TL %
Afghanistan,1998,,Dutiable TL %
Afghanistan,1998,,Duty-Free TL %
Afghanistan,1998,,Specific TL %
Afghanistan,1999,,Dutiable TL %
Afghanistan,1999,,Duty-Free TL %
Afghanistan,1999,,Specific TL %
Afghanistan,2000,,Dutiable TL %
Afghanistan,2000,,Duty-Free TL %
Afghanistan,2000,,Specific TL %
Afghanistan,2001,,Dutiable TL %
Afghanistan,2001,,Duty-Free TL %
Afghanistan,2001,,Specific TL %
Afghanistan,2002,,Dutiable TL %
Afghanistan,2002,,Duty-Free TL %
Afghanistan,2002,,Specific TL %
Afghanistan,2003,,Dutiable TL %
Afghanistan,2003,,Duty-Free TL %
Afghanistan,2003,,Specific TL %
Afghanistan,2004,,Dutiable TL %
Afghanistan,2004,,Duty-Free TL %
Afghanistan,2004,,Specific TL %
Afghanistan,2005,,Dutiable TL %
Afghanistan,2005,,Duty-Free TL %
Afghanistan,2005,,Specific TL %
Afghanistan,2006,,Dutiable TL %
Afghanistan,2006,,Duty-Free TL %
Afghanistan,2006,,Specific TL %
Afghanistan,2007,,Dutiable TL %
Afghanistan,2007,,Duty-Free TL %
Afghanistan,2007,,Specific TL %
Afghanistan,2008,99.29359823399558,Dutiable TL %
Afghanistan,2008,0.7064017660044151,Duty-Free TL %
Afghanistan,2008,0.0,Specific TL %
Afghanistan,2009,,Dutiable TL %
Afghanistan,2009,,Duty-Free TL %
Afghanistan,2009,,Specific TL %
Afghanistan,2010,,Dutiable TL %
Afghanistan,2010,,Duty-Free TL %
Afghanistan,2010,,Specific TL %
Afghanistan,2011,,Dutiable TL %
Afghanistan,2011,,Duty-Free TL %
Afghanistan,2011,,Specific TL %
Afghanistan,2012,99.37805419813417,Dutiable TL %
Afghanistan,2012,0.6219458018658374,Duty-Free TL %
Afghanistan,2012,0.0,Specific TL %
Afghanistan,2013,99.37805419813417,Dutiable TL %
Afghanistan,2013,0.6219458018658374,Duty-Free TL %
Afghanistan,2013,0.0,Specific TL %
Afghanistan,2014,,Dutiable TL %
Afghanistan,2014,,Duty-Free TL %
Afghanistan,2014,,Specific TL %
Afghanistan,2015,,Dutiable TL %
Afghanistan,2015,,Duty-Free TL %
Afghanistan,2015,,Specific TL %
Afghanistan,2016,,Dutiable TL %
Afghanistan,2016,,Duty-Free TL %
Afghanistan,2016,,Specific TL %
Afghanistan,2017,,Dutiable TL %
