country,year,exports_usd,hh_index,hs6_products,region,subregion
Afghanistan,1988,,,,Asia,South Asia
Afghanistan,1989,,,,Asia,South Asia
Afghanistan,1990,,,,Asia,South Asia
Afghanistan,1991,,,,Asia,South Asia
Afghanistan,1992,,,,Asia,South Asia
Afghanistan,1993,,,,Asia,South Asia
Afghanistan,1994,,,,Asia,South Asia
Afghanistan,1995,,,,Asia,South Asia
Afghanistan,1996,,,,Asia,South Asia
Afghanistan,1997,,,,Asia,South Asia
Afghanistan,1998,,,,Asia,South Asia
Afghanistan,1999,,,,Asia,South Asia
Afghanistan,2000,,,,Asia,South Asia
Afghanistan,2001,,,,Asia,South Asia
Afghanistan,2002,,,,Asia,South Asia
Afghanistan,2003,,,,Asia,South Asia
Afghanistan,2004,,,,Asia,South Asia
Afghanistan,2005,,,,Asia,South Asia
Afghanistan,2006,,,,Asia,South Asia
Afghanistan,2007,,,,Asia,South Asia
Afghanistan,2008,540065.594,0.155001595,33,Asia,South Asia
Afghanistan,2009,403441.006,0.45222946,30,Asia,South Asia
Afghanistan,2010,388483.635,0.152180985,32,Asia,South Asia
Afghanistan,2011,375850.935,0.18447066,31,Asia,South Asia
Afghanistan,2012,428902.71,0.238497673,5,Asia,South Asia
Afghanistan,2013,514972.983,0.220994081,5,Asia,South Asia
Afghanistan,2014,570534.007,0.26082094,5,Asia,South Asia
Afghanistan,2015,571404.967,0.330161312,43,Asia,South Asia
Afghanistan,2016,596455.337,0.239050159,42,Asia,South Asia
Afghanistan,2017,831926.7718,0.308165598,99,Asia,South Asia
Afghanistan,2018,884504.4964,0.290024181,156,Asia,South Asia
Afghanistan,2019,870488.5125,0.294335994,204,Asia,South Asia
Afghanistan,2020,,,,Asia,South Asia
Afghanistan,2021,,,,Asia,South Asia
Afghanistan,2022,,,,Asia,South Asia
Armenia,1988,,,,Asia,West Asia
Armenia,1989,,,,Asia,West Asia
Armenia,1990,,,,Asia,West Asia
Armenia,1991,,,,Asia,West Asia
Armenia,1992,,,,Asia,West Asia
Armenia,1993,,,,Asia,West Asia
Armenia,1994,,,,Asia,West Asia
Armenia,1995,,,,Asia,West Asia
Armenia,1996,,,,Asia,West Asia
Armenia,1997,215273.552,0.158090447,1010,Asia,West Asia
Armenia,1998,,,,Asia,West Asia
Armenia,1999,231666.237,0.213440211,1084,Asia,West Asia
Armenia,2000,294102.939,0.134315872,896,Asia,West Asia
Armenia,2001,335831.375,0.101245512,1135,Asia,West Asia
Armenia,2002,527203.711,0.109178059,1163,Asia,West Asia
Armenia,2003,670474.788,0.115487143,1198,Asia,West Asia
Armenia,2004,722911.5,0.096528524,1201,Asia,West Asia
Armenia,2005,936977.335,0.099215148,1333,Asia,West Asia
Armenia,2006,1003961.105,0.07964483,1411,Asia,West Asia
Armenia,2007,1121222.464,0.097285958,1396,Asia,West Asia
Armenia,2008,1055012.744,0.109833133,1354,Asia,West Asia
Armenia,2009,683989.374,0.101060467,1314,Asia,West Asia
Armenia,2010,1011424.747,0.098538031,1210,Asia,West Asia
Armenia,2011,1320411.381,0.087912741,1294,Asia,West Asia
Armenia,2012,1428120.692,0.120155455,1364,Asia,West Asia
Armenia,2013,1467799.672,0.132462707,1340,Asia,West Asia
Armenia,2014,1490190.146,0.118008992,1278,Asia,West Asia
Armenia,2015,1482667.349,0.104118854,1627,Asia,West Asia
Armenia,2016,1807789.51,0.120147907,1738,Asia,West Asia
Armenia,2017,2144962.97,0.135117339,2009,Asia,West Asia
Armenia,2018,2383413.8,0.136987553,2158,Asia,West Asia
Armenia,2019,2618637.446,0.153378037,1917,Asia,West Asia
Armenia,2020,2332082.153,0.161790783,1995,Asia,West Asia
Armenia,2021,2964798.29,0.191950179,1994,Asia,West Asia
Armenia,2022,5364133.602,0.153461513,2714,Asia,West Asia
Azerbaijan,1988,,,,Asia,West Asia
Azerbaijan,1989,,,,Asia,West Asia
Azerbaijan,1990,,,,Asia,West Asia
Azerbaijan,1991,,,,Asia,West Asia
Azerbaijan,1992,,,,Asia,West Asia
Azerbaijan,1993,,,,Asia,West Asia
Azerbaijan,1994,,,,Asia,West Asia
Azerbaijan,1995,,,,Asia,West Asia
Azerbaijan,1996,631244.864,0.199188197,771,Asia,West Asia
Azerbaijan,1997,781308.992,0.158109471,800,Asia,West Asia
Azerbaijan,1998,606149.44,0.170096125,924,Asia,West Asia
Azerbaijan,1999,929225.537,0.103499518,1056,Asia,West Asia
Azerbaijan,2000,1745251.936,0.137320868,1119,Asia,West Asia
Azerbaijan,2001,2314282.345,0.206302307,1047,Asia,West Asia
Azerbaijan,2002,2167500.086,0.166679621,951,Asia,West Asia
Azerbaijan,2003,2591719.389,0.175176881,963,Asia,West Asia
Azerbaijan,2004,3615449.827,0.108318036,1025,Asia,West Asia
Azerbaijan,2005,4347151.207,0.140926202,1123,Asia,West Asia
Azerbaijan,2006,6372164.992,0.155952571,1179,Asia,West Asia
Azerbaijan,2007,6058319.1,0.122365469,1129,Asia,West Asia
Azerbaijan,2008,47756229.36,0.128168209,1001,Asia,West Asia
Azerbaijan,2009,14688727.69,0.105425979,1020,Asia,West Asia
Azerbaijan,2010,21278419.98,0.128035248,970,Asia,West Asia
Azerbaijan,2011,26480188.84,0.153604493,1056,Asia,West Asia
Azerbaijan,2012,23827186.08,0.12316421,998,Asia,West Asia
Azerbaijan,2013,23904108.01,0.124581341,1017,Asia,West Asia
Azerbaijan,2014,21751737.15,0.10541842,1019,Asia,West Asia
Azerbaijan,2015,12646293.68,0.117012203,1133,Asia,West Asia
Azerbaijan,2016,13380818.57,0.097349096,1578,Asia,West Asia
Azerbaijan,2017,15306018.3,0.111034586,1711,Asia,West Asia
Azerbaijan,2018,19489068.2,0.118753873,1632,Asia,West Asia
Azerbaijan,2019,19635202.6,0.126491893,1686,Asia,West Asia
Azerbaijan,2020,13732637.26,0.114153022,1686,Asia,West Asia
Azerbaijan,2021,22207974.78,0.265246413,1809,Asia,West Asia
Azerbaijan,2022,38146430.73,0.304108477,1836,Asia,West Asia
Bahrain,1988,,,,Asia,West Asia
Bahrain,1989,,,,Asia,West Asia
Bahrain,1990,,,,Asia,West Asia
Bahrain,1991,,,,Asia,West Asia
Bahrain,1992,,,,Asia,West Asia
Bahrain,1993,,,,Asia,West Asia
Bahrain,1994,,,,Asia,West Asia
Bahrain,1995,,,,Asia,West Asia
Bahrain,1996,,,,Asia,West Asia
Bahrain,1997,,,,Asia,West Asia
Bahrain,1998,,,,Asia,West Asia
Bahrain,1999,,,,Asia,West Asia
Bahrain,2000,6194679.351,0.039172426,1281,Asia,West Asia
Bahrain,2001,5551309.153,0.041940616,1055,Asia,West Asia
Bahrain,2002,5794198.135,0.042477146,1329,Asia,West Asia
Bahrain,2003,6631600.766,0.04307952,1276,Asia,West Asia
Bahrain,2004,7516028.525,0.046826564,1217,Asia,West Asia
Bahrain,2005,10238577.8,0.040142387,1602,Asia,West Asia
Bahrain,2006,11661614.41,0.040526216,1342,Asia,West Asia
Bahrain,2007,13664874.24,0.039042988,1312,Asia,West Asia
Bahrain,2008,13082979.79,0.051625632,1600,Asia,West Asia
Bahrain,2009,8383999.812,0.055375439,1547,Asia,West Asia
Bahrain,2010,16059213.42,0.04016814,1719,Asia,West Asia
Bahrain,2011,22561916.65,0.043674926,1915,Asia,West Asia
Bahrain,2012,16621225.73,0.040518883,2302,Asia,West Asia
Bahrain,2013,20036210.16,0.040241588,2550,Asia,West Asia
Bahrain,2014,23745958.55,0.054122789,2826,Asia,West Asia
Bahrain,2015,13882170.67,0.071427245,2964,Asia,West Asia
