country,Indicator Name,region,year,ExportValueIndex
Afghanistan,Export value index (2000 = 100),South Asia,1988,51.2630964304
Armenia,Export value index (2000 = 100),,1988,
Azerbaijan,Export value index (2000 = 100),,1988,
Bahrain,Export value index (2000 = 100),West Asia,1988,14.5777978636
Bangladesh,Export value index (2000 = 100),South Asia,1988,3.9807907236
Bhutan,Export value index (2000 = 100),South Asia,1988,13.6729574945
Brunei,Export value index (2000 = 100),,1988,24.9014690141
Cambodia,Export value index (2000 = 100),Southeast Asia,1988,0.3714816948
China,Export value index (2000 = 100),East Asia,1988,2.0900228197
Cyprus,Export value index (2000 = 100),,1988,
Georgia,Export value index (2000 = 100),,1988,
"Hong Kong, China",Export value index (2000 = 100),,1988,12.4235994893
India,Export value index (2000 = 100),South Asia,1988,4.9387695311
Indonesia,Export value index (2000 = 100),Southeast Asia,1988,
"Iran, Islamic Rep.",Export value index (2000 = 100),,1988,15.4505255052
Iraq,Export value index (2000 = 100),West Asia,1988,16.5082912954
Israel,Export value index (2000 = 100),West Asia,1988,
Japan,Export value index (2000 = 100),East Asia,1988,
Jordan,Export value index (2000 = 100),West Asia,1988,13.0113380952
Kazakhstan,Export value index (2000 = 100),Central Asia,1988,
"Korea, Rep.",Export value index (2000 = 100),East Asia,1988,11.52265837
Kuwait,Export value index (2000 = 100),West Asia,1988,14.3342239355
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,1988,
Lao PDR,Export value index (2000 = 100),,1988,1.5876035531
Lebanon,Export value index (2000 = 100),West Asia,1988,19.5905032238
Malaysia,Export value index (2000 = 100),Southeast Asia,1988,10.5435186581
Maldives,Export value index (2000 = 100),South Asia,1988,22.6524250228
Mongolia,Export value index (2000 = 100),East Asia,1988,15.828038884
Myanmar,Export value index (2000 = 100),Southeast Asia,1988,1.4397844446
Nepal,Export value index (2000 = 100),South Asia,1988,26.5545372225
Oman,Export value index (2000 = 100),West Asia,1988,7.7542441497
Pakistan,Export value index (2000 = 100),South Asia,1988,20.4721867879
Philippines,Export value index (2000 = 100),Southeast Asia,1988,11.4245948751
Qatar,Export value index (2000 = 100),West Asia,1988,2.8765626031
Russian Federation,Export value index (2000 = 100),,1988,
Saudi Arabia,Export value index (2000 = 100),West Asia,1988,11.9911922561
Singapore,Export value index (2000 = 100),Southeast Asia,1988,11.1794533707
Sri Lanka,Export value index (2000 = 100),South Asia,1988,13.9923197259
Syrian Arab Republic,Export value index (2000 = 100),,1988,151.6603500763
Tajikistan,Export value index (2000 = 100),Central Asia,1988,
Thailand,Export value index (2000 = 100),Southeast Asia,1988,7.4335991717
Turkey,Export value index (2000 = 100),West Asia,1988,7.7240937411
Turkmenistan,Export value index (2000 = 100),Central Asia,1988,
United Arab Emirates,Export value index (2000 = 100),West Asia,1988,4.0733644666
