source,flow_type,target,source_lat,source_long,target_lat,target_long,trade_share
Afghanistan,Export,India,33.93911,67.70995,20.59368,78.96288,47.12
Afghanistan,Import,Iran,33.93911,67.70995,20.59368,78.96288,14.56
Armenia,Export,Russia,40.0691,45.03819,61.524,105.3188,45.06
Armenia,Import,Russia,40.0691,45.03819,61.524,105.3188,30.49
Azerbaijan,Export,Turkey,40.14311,47.57693,38.96375,35.24332,9.29
Azerbaijan,Import,Russia,40.14311,47.57693,61.524,105.3188,18.81
Bhutan,Export,India,27.51416,90.4336,20.59368,78.96288,93.69
Bhutan,Import,India,27.51416,90.4336,20.59368,78.96288,78.8
Bahrain,Export,Saudi Arabia,26.0667,50.5577,23.88594,45.07916,13.7
Bahrain,Import,China,26.0667,50.5577,35.86166,104.1954,14.46
Brunei Darussalam,Export,Japan,4.53528,114.72767,36.20482,138.25292,17.37
Brunei Darussalam,Import,Malaysia,4.53528,114.72767,4.21048,101.97577,24.02
Cambodia,Export,China,12.56568,104.99096,35.86166,104.1954,43.6
Cambodia,Import,China,12.56568,104.99096,35.86166,104.1954,34.89
Cyprus,Export,Hong Kong,35.1264,33.4299,22.3193,114.1694,10.7
Cyprus,Import,China,35.1264,33.4299,35.86166,104.1954,7.96
China,Export,Hong Kong,35.86166,104.1954,22.3193,114.1694,8.28
China,Import,South Korea,35.86166,104.1954,35.90776,127.76692,7.35
Georgia,Export,China,42.3154,43.3569,35.86166,104.1954,13
Georgia,Import,Turkey,42.3154,43.3569,38.96375,35.24332,17.52
Hong Kong,Export,China,22.3193,114.1694,35.86166,104.1954,57.43
Hong Kong,Import,China,22.3193,114.1694,35.86166,104.1954,40.1
Indonesia,Export,China,-0.78927,113.92133,35.86166,104.1954,22.58
Indonesia,Import,China,-0.78927,113.92133,35.86166,104.1954,28.52
India,Export,United Arab Emirates,20.59368,78.96288,23.42408,53.84782,6.92
India,Import,China,20.59368,78.96288,35.86166,104.1954,13.96
Iran,Export,China,20.59368,78.96288,35.86166,104.1954,27.72
Iran,Import,United Arab Emirates,20.59368,78.96288,23.42408,53.84782,30.66
Israel,Export,China,31.04605,34.85161,35.86166,104.1954,6.38
Israel,Import,China,31.04605,34.85161,35.86166,104.1954,12.2
Japan,Export,China,36.20482,138.25292,35.86166,104.1954,19.36
Japan,Import,China,36.20482,138.25292,35.86166,104.1954,21.02
Jordan,Export,India,30.58516,36.23841,20.59368,78.96288,14.12
Jordan,Import,China,30.58516,36.23841,35.86166,104.1954,15.23
Kazakhstan,Export,China,48.01957,66.92368,35.86166,104.1954,13.72
Kazakhstan,Import,Russia,48.01957,66.92368,61.524,105.3188,56.03
South Korea,Export,China,35.90776,127.76692,35.86166,104.1954,22.79
South Korea,Import,China,35.90776,127.76692,35.86166,104.1954,21.14
Kuwait ,Export,United Arab Emirates,29.31166,47.48177,23.42408,53.84782,0.99
Kuwait ,Import,China,29.31166,47.48177,35.86166,104.1954,18.78
Kyrgyzstan,Export,Russia,41.20438,74.7661,35.86166,104.1954,47.43
Kyrgyzstan,Import,China,41.20438,74.7661,35.86166,104.1954,41.51
Lebanon,Export,United Arab Emirates,33.85472,35.86229,23.42408,53.84782,23.29
Lebanon,Import,China,33.85472,35.86229,35.86166,104.1954,13.79
Malaysia,Export,Singapore,4.21048,101.97577,1.35208,103.81984,15
Malaysia,Import,China,4.21048,101.97577,35.86166,104.1954,21.32
Mongolia,Export,China,46.8625,103.84665,35.86166,104.1954,84.3
Mongolia,Import,China,46.8625,103.84665,35.86166,104.1954,34.79
Myanmar,Export,Thailand,21.91622,95.95597,15.87003,100.99254,22.52
Myanmar,Import,China,21.91622,95.95597,35.86166,104.1954,32.1
Nepal,Export,India,28.39486,84.12401,20.59368,78.96288,71.93
Nepal,Import,India,28.39486,84.12401,20.59368,78.96288,63.21
Oman,Export,United Arab Emirates,21.47353,55.97541,23.42408,53.84782,4.76
Oman,Import,United Arab Emirates,21.47353,55.97541,23.42408,53.84782,28.96
Pakistan,Export,China,30.37532,69.34512,35.86166,104.1954,8.22
Pakistan,Import,China,30.37532,69.34512,35.86166,104.1954,22.99
Philippines,Export,Japan,12.87972,121.77402,36.20482,138.25292,14.06
Philippines,Import,China,12.87972,121.77402,35.86166,104.1954,20.43
Qatar,Export,China,25.35483,51.18388,35.86166,104.1954,15.87
Qatar,Import,China,25.35483,51.18388,35.86166,104.1954,16.24
Russia,Export,China,61.524,105.3188,35.86166,104.1954,13.95
Russia,Import,China,61.524,105.3188,35.86166,104.1954,24.77
Saudi Arabia,Export,United Arab Emirates,23.88594,45.07916,23.42408,53.84782,5.15
Saudi Arabia,Import,China,23.88594,45.07916,35.86166,104.1954,19.8
Singapore,Export,China,1.35208,103.81984,35.86166,104.1954,12.42
Singapore,Import,China,1.35208,103.81984,35.86166,104.1954,13.25
Sri Lanka,Export,India,7.87305,80.7718,20.59368,78.96288,6.71
Sri Lanka,Import,India,7.87305,80.7718,20.59368,78.96288,26.35
Syrian Arab Republic,Export,Iraq,34.80207,38.99682,33.22319,43.67929,20.21
Syrian Arab Republic,Import,Turkey,34.80207,38.99682,38.96375,35.24332,9.52
Thailand,Export,China,15.87003,100.99254,35.86166,104.1954,11.98
Thailand,Import,China,15.87003,100.99254,35.86166,104.1954,23.51
Turkey,Export,Iraq,38.96375,35.24332,33.22319,43.67929,5.41
Turkey,Import,Russia,38.96375,35.24332,61.524,105.3188,16.18
Turkmenistan,Export,Russia,38.96972,59.55628,61.524,105.3188,41.08
Turkmenistan,Import,Russia,38.96972,59.55628,61.524,105.3188,14.25
United Arab Emirates,Export,Saudi Arabia,23.42408,53.84782,23.88594,45.07916,5.45
United Arab Emirates,Import,China,23.42408,53.84782,35.86166,104.1954,15.98
Vietnam,Export,China,14.05832,108.2772,35.86166,104.1954,15.55
Vietnam,Import,China,14.05832,108.2772,35.86166,104.1954,32.79
Yemen,Export,Turkey,15.55273,48.51639,38.96375,35.24332,28.02
Yemen,Import,United Arab Emirates,15.55273,48.51639,23.42408,53.84782,24.04
