Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,359.766116381112,363.101253074406,354.033690188581,379.955590339344,384.078063662358,429.412267248095,437.419751677908,512.408956951877,569.282353956434,551.00062369988,596.442439966449,608.386331910323,602.516600325407,592.476164793256,590.427367421378,588.930080331481,578.985544847804,584.386515325947,553.036131033118,426.229401276432,
Albania,GDP per capita (constant 2010 US$),1691.53095349291,1808.64608297155,1606.29647201533,1163.49160146384,1086.43877430545,1197.58091066971,1305.00106402508,1488.02088513403,1633.55200434173,1464.29796641697,1603.64765452026,1821.87313584817,1960.88246493025,2143.52684515058,2247.49808605638,2380.64462708705,2522.44938113726,2675.50864417697,2851.3677667452,3044.89662487827,3298.4789171641,3432.17088105477,3577.11433445482,3678.04771118469,3736.34008946398,3780.69920254585,3855.76075430011,3952.80358410846,4090.37273911621,4249.82006064482,4431.55560679714,4543.38772250631,4418.66088547605,4857.11195487159,5158.50912786813
Algeria,GDP per capita (constant 2010 US$),3154.20322581524,3207.4549759757,3153.47581970758,3042.2158992866,3025.83953815766,2896.66840108733,2810.7267347733,2862.10785880337,2927.37742748857,2910.23923338231,3012.80543367775,3066.03769012214,3138.23000861214,3188.20621527958,3321.63774983461,3512.89903676959,3612.75296841796,3774.07124205966,3783.31295138089,3848.77823838112,3874.36805578059,3866.29574556392,3931.7200461362,3969.6602628982,4025.64147034527,4057.76479352226,4129.42253508345,4197.41997101868,4246.24215972733,4218.08230492189,4188.2203709479,4153.00344111131,3873.50873277078,3939.36085126425,3995.88188543925
Andorra,GDP per capita (constant 2010 US$),30323.2995316781,30565.1246519734,30578.0600036328,30301.6299214872,29596.0221728002,28363.3389423177,28144.3743981951,28051.3900238919,28797.8532021372,31149.355654188,31895.9807855248,32966.2368476605,33901.1769747473,35722.5288914608,35749.9289132942,37250.295190897,38696.4946083903,39307.1408566172,40994.4476103314,42724.5672010062,41470.4379343312,40442.7851082671,40937.2740684164,41486.1994761194,39174.8972881629,37597.7053326941,38402.6492625923,38885.5303237179,39886.6400858717,39321.6143104893,39320.0924477975,39413.7908792259,34394.4140409799,36616.1007622181,39447.519717091
Angola,GDP per capita (constant 2010 US$),2496.52631318736,2414.76725919977,2254.75489664156,2202.61364955231,2007.71992658847,1478.70332011074,1451.33812526466,1615.02616898236,1773.70988402377,1840.32190268097,1864.50237259747,1844.68784187534,1840.35382835349,1855.78017696501,2040.19475501371,2030.6862080773,2175.41476872045,2414.91848437074,2598.79567139789,2856.98884621402,3061.63627198895,2975.99342715623,2992.99292481041,2982.66523053463,3118.02018277884,3152.51580772684,3185.00970610559,3100.83068530533,2914.41213130922,2808.59871467039,2677.24983283563,2569.70165067457,2346.84601909898,2300.97461359713,2298.74831182791
Antigua and Barbuda,GDP per capita (constant 2010 US$),10705.5954270543,11329.1481410366,11727.1092924402,11924.7388744863,11871.6584152776,12275.3959242182,12853.283788342,12054.6163013293,12592.9995890606,13017.211571059,13378.7153617669,13639.9959349697,14247.973013193,13392.9817167531,13358.8143713235,14010.8490580853,14656.292617304,15423.8000243913,17163.3978251358,18505.7906655862,18228.6491331364,15804.4451442561,14367.9514959487,13918.5965270244,14232.9695942318,14015.8793149044,14427.4069090612,14861.8827074704,15570.9040636643,15962.7288681322,16957.632679588,17599.9687156255,14433.8797969677,15288.4378783717,16485.441643494
Argentina,GDP per capita (constant 2010 US$),9262.96392660836,8473.02656895128,8144.49429397801,8762.66138351332,9327.8594509636,9957.25652230492,10397.3792874496,9969.33157579723,10388.5387104408,11097.3820634618,11391.9451576314,10880.2062074837,10672.7220353121,10090.6534434286,8895.31964210751,9581.96979219468,10341.6434058805,11141.3106718375,11913.9585322637,12857.0925770961,13246.6348917152,12336.8619385237,13551.3391940229,14200.2698890608,13895.6337072986,14071.5086831557,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12716.2242038544,11341.2683655863,12402.4907912317,12932.4695302972
Armenia,GDP per capita (constant 2010 US$),,,1641.98314685456,1425.38674264425,839.572030619909,791.646996856456,855.081041706631,928.092497400516,989.64234410298,1031.09825975826,1116.90719322937,1166.18796268474,1249.61213037405,1385.04479530641,1582.05762307417,1815.78822609055,2018.46014266053,2312.98286338693,2636.25665053529,3019.46556331841,3250.49861389456,2810.19284300486,2889.56623073412,3043.26278883538,3278.67045101985,3402.08385754089,3538.52939541716,3666.14182536082,3689.83008540677,3985.91670188717,4215.89939814463,4561.96780299386,4256.13123162961,4522.31904517941,5111.3700275117
Aruba,GDP per capita (constant 2010 US$),21036.3874477136,23491.6646758167,24007.4957081744,25097.2721099909,25692.2384598819,26743.7228041228,28027.5156353729,27868.5430751046,27358.5421213954,28413.1440057025,28121.3155796027,27646.1956456575,29005.9333738747,29693.1399149667,29059.4865095137,29093.5782378862,30931.9364997363,30505.3391939872,30490.3658419122,31051.0015717696,31230.193038317,27243.3332022516,26200.7273001561,26829.634480299,26337.5850592423,27821.7915999069,27624.3773003771,28421.3864931862,28852.2370667381,30270.9416008153,31705.2788242026,31762.7339603086,25823.6349408072,30271.833634046,
Australia,GDP per capita (constant 2010 US$),35464.4084170809,36220.4175471372,36964.6724453489,36356.6948688231,36106.0132708728,37234.6823143663,38345.8761177348,39395.2107437299,40420.9794120627,41550.5510955641,43036.3234245713,44677.8946490841,45892.6103705542,46232.0382470989,47534.5452094921,48453.013800548,49959.0724111333,50911.1341449746,51605.3146015121,52586.4093896127,53382.3100594756,53271.5901893686,53606.5814449061,54131.1047090858,55269.9192801293,55727.7341473215,56318.6359789436,56708.96119674,57354.5498137682,57701.5238528086,58479.5035467805,58868.4806341229,58115.9306675109,59339.6843453605,60797.9586475866
Austria,GDP per capita (constant 2010 US$),29264.3235778252,30265.1932308117,31340.6812927165,32097.2410936755,32410.53977326,32313.7118722637,32962.8174189767,33790.4849857504,34537.7395746518,35220.8877426259,36442.2882333384,37664.9432792116,38842.8905195831,39184.8085972636,39636.4826114521,39815.2219533064,40651.2266155811,41281.2707559522,42496.3510516831,43937.7128905744,44440.055889928,42655.1921304813,43334.5089644691,44451.0001918473,44549.881698231,44299.3781845446,44245.1687398338,44195.8175947748,44590.2516278164,45281.723399938,46154.6250956541,46647.0809634335,43455.7000665738,45238.3907144733,47043.3432250759
Azerbaijan,GDP per capita (constant 2010 US$),,,2820.84060264249,2764.07448297747,2107.29715734236,1596.13294833696,1264.52741314043,1102.49808532554,1105.58743809287,1158.48186278375,1262.29211067698,1343.85617669456,1480.80895297437,1614.84914412315,1754.13555198582,1918.61137675397,2077.88563846517,2631.85191889281,3501.16544505944,4327.11437101674,4693.07791082125,5023.96818024328,5215.20507790333,5152.8394150109,5194.92183666706,5426.09690251674,5506.18267114344,5500.50462041954,5270.7390991554,5229.71081603592,5262.36963669485,5348.45413572489,5083.56115475155,5345.44081113132,5571.73282660707
"Bahamas, The",GDP per capita (constant 2010 US$),31024.8801668709,32483.31760728,31352.3820787019,29455.9372695406,27734.8119496286,27222.484497705,27522.5868593555,28194.807055171,28867.2626605009,30331.0868423872,28485.0668486992,31473.1677864464,32300.8120346595,32684.955223754,33129.1644669858,32276.5361924379,32124.9781091218,32765.4164374756,33127.1752592231,33136.4474525521,31908.9393028039,30139.3412657097,30175.4447568869,29984.754733591,30577.7506278973,29425.8000214671,29701.2903627666,29724.9533355233,29459.05220928,29940.4184659759,30181.1840587486,29760.3414026944,22657.0351560435,26412.0121121765,30054.0389556466
Bahrain,GDP per capita (constant 2010 US$),17776.6973393422,17234.7932116813,17405.8852025117,18709.7957397915,19275.4814977002,21024.9686175308,20283.0874092638,20403.3705327835,20576.5153881187,20566.5570149467,20915.8334128566,21195.9007780378,21713.5380502274,21681.0282978646,21866.0492284432,22348.9048094348,22325.7030750547,22027.331306682,21783.8515343462,22013.7584157719,21918.0050610342,21157.7934203336,21452.9215198243,21906.7464253804,22484.8548156338,23012.7083415266,23107.9565925844,22795.4488576612,22810.7749240924,23019.2557426695,23023.1197800625,23414.2190743533,22579.3620055846,23407.195851022,24395.4724708891
Bangladesh,GDP per capita (constant 2010 US$),473.682148995127,476.879412217548,493.095074760365,500.493821974164,518.109845907665,532.252722156776,542.454448935042,559.689233048224,574.835821891908,590.002791194728,609.013565298411,625.363856656426,646.037766238482,666.067758185949,678.867511823949,698.732088588378,723.227841549678,758.889976464615,799.781478168863,847.2819518792,890.296171016292,927.018090820831,967.561084882888,1017.62773519535,1070.59516844779,1120.68533925027,1173.89300498245,1236.00439770048,1307.73233342295,1376.60346975864,1460.30423385385,1557.96433416698,1593.34740671711,1684.43348669953,1784.7388872872
Barbados,GDP per capita (constant 2010 US$),15149.4400976937,15695.0019038083,15169.4850562896,14547.87950851,13677.0310059854,13744.1418722316,13982.0953461996,14231.5566589536,14769.8801120893,15444.6571627486,15995.1055390453,16016.5574154211,16698.0610545825,16258.8421755756,16320.5680320826,16610.5369401623,16781.8983320736,17382.7727977425,18380.6699078531,18692.1211181299,18729.5902392006,17714.6752403411,17237.7711645724,17071.0534386415,16953.4355437449,16667.7383770438,16615.5054382111,16990.2194668498,17385.2007497069,17430.8732103088,17220.9310014747,17168.1456868491,14855.6898587069,14800.8381460905,16255.6267543271
Belarus,GDP per capita (constant 2010 US$),,,2890.54014242294,2854.53652774976,2574.83808279965,2373.90364194543,2098.63586196963,1886.48785191738,1945.84970228664,2176.70438088318,2370.19956751302,2461.84045764767,2616.927456409,2754.67969485085,2912.13945635595,3139.13833646808,3522.50932010925,3880.03581472921,4294.2524059968,4685.00618505781,5180.74097837957,5203.88364860153,5621.9682473214,5938.25350125188,6047.90455569149,6110.93844256071,6212.93642966941,5967.0691848005,5811.2511478803,5964.91498711041,6165.95853198263,6267.76579524677,6252.00947341656,6457.75194571688,6217.14729162103
Belgium,GDP per capita (constant 2010 US$),27772.0520454683,28631.3190930238,29441.6621481593,29870.1477747077,30204.5637515713,29797.4063198776,30664.3078546408,31329.892072751,31681.9363634502,32804.3605402361,33376.5748398965,34479.9064484695,35674.7912530713,35943.2379602838,36393.2417665704,36617.3803840227,37761.2813189981,38426.0519083731,39147.7635597291,40290.2277563956,40151.8498740394,39025.2207908291,39777.9252767366,39929.0951439359,39975.5736402458,39970.3174974794,40421.4207919096,41008.296719472,41318.0196388476,41825.7628316432,42382.3182763247,43107.214821718,40620.1042151159,42971.0580381855,44075.8614379326
Belize,GDP per capita (constant 2010 US$),3470.88120586614,3837.2924026807,4185.20749157251,4567.64727965389,5014.29769522737,5220.64558955249,5119.19276233379,5021.86730786347,4921.5287708972,4927.02998072833,4943.16082019784,5204.56480989139,5693.74148475752,5795.34553101308,5903.97893331935,6259.03891565886,6353.22739059713,6301.91586494332,6400.18143804516,6421.95513794371,6148.52280105791,5955.11103840026,5881.38223686405,5742.67020585985,5831.15884796355,5960.36040094913,6069.46147957835,6142.47883269283,6024.83594539496,5806.06544944251,5756.8522488581,5907.34887238917,5040.12252132539,5733.10257369081,6345.32283061288
Benin,GDP per capita (constant 2010 US$),773.846974425043,729.408784018925,771.075863965352,779.423309019057,778.255268210274,787.819118694931,774.262921871822,804.350332973365,817.849735178722,839.951696664448,847.074487472901,865.45256246753,888.730184630442,908.347702993908,922.417638739881,925.849261137358,938.038178110083,924.269524085112,931.76914087973,959.55499346646,977.303163181198,970.96596893412,962.816109525733,962.744589699509,980.074613212459,1020.52823405078,1054.10876660986,1041.65252315982,1045.1509365758,1072.36196622085,1111.22724012239,1153.72620998081,1164.70896658457,1214.07758989942,1255.60729259079
Bermuda,GDP per capita (constant 2010 US$),87481.3787979104,87131.9494123899,86436.2343086978,83812.1328015956,84371.0356555145,86444.678219915,86361.9528113298,89518.2776350258,91261.1514849131,94878.4922499734,97857.323281354,100602.927482617,109001.586029756,115619.474683728,113172.120633639,116268.816861242,118193.148720988,119396.449407765,125294.959387025,128757.880688002,125610.033442692,117886.737990193,115839.79601113,112471.34754245,106119.795030798,105492.480708055,101374.469787793,102005.62564189,102407.394383438,107237.031768386,106697.737486296,107036.239271085,99745.2416064214,102959.254883442,106359.970454024
Bhutan,GDP per capita (constant 2010 US$),665.596629950825,694.65234400531,747.236037203709,732.039194030422,796.247655743963,851.208048248222,892.632405997906,944.407548743631,978.494962959422,1013.40930295266,1053.54195189414,1110.0672964715,1115.6253258233,1176.65325900873,1272.63179351011,1338.50863609598,1385.39642035309,1456.47977777027,1535.42786266313,1795.07177470235,1859.07043337214,1961.9387453119,2171.90978455507,2319.59091892029,2411.89638508815,2436.85976248413,2551.4830545474,2695.63690417126,2889.49386564098,2998.47318527529,3065.85352500394,3219.64143919345,2878.43570726731,2976.90441988089,
Bolivia,GDP per capita (constant 2010 US$),1620.50103683865,1646.80916412334,1687.44272404907,1739.85461002935,1732.73911582417,1770.77689865406,1817.47340246193,1866.65293258167,1912.00225931629,1970.1680814491,2031.97220585345,2003.86130834366,2017.39460861999,2015.37747944243,2029.61794375322,2048.55981761044,2097.25835323189,2152.36196979617,2216.54470883828,2277.50382618283,2376.0780894158,2414.12994536401,2471.47363280645,2556.83026947588,2643.6908163643,2777.72053240937,2882.80689613638,2975.64881143063,3054.89254761291,3135.031645714,3219.20089192093,3242.94884532224,2920.19744733394,3061.73861340573,3118.39639591087
