Country Name,GNI_per_capita
Afghanistan,
Albania,4793.007252
Algeria,3856.09588
Andorra,
Angola,2069.096465
Antigua and Barbuda,
Argentina,12141.7315
Armenia,4403.935496
Aruba,
Australia,
Austria,45439.45867
Azerbaijan,
"Bahamas, The",24748.56041
Bahrain,21987.63929
Bangladesh,1773.97618
Barbados,
Belarus,6213.200997
Belgium,43366.66933
Belize,5555.489576
Benin,1207.848915
Bermuda,107243.4176
Bhutan,2793.842675
Bolivia,2979.586898
Bosnia and Herzegovina,5856.091994
Botswana,6069.108789
Brazil,8390.782698
Brunei,29926.21034
Bulgaria,8400.77551
Burkina Faso,
Burundi,265.2776288
Cambodia,1353.482974
Cameroon,1344.781772
Canada,43968.25456
Cape Verde,3076.718569
Cayman Islands,
Central African Republic,395.546637
Chad,586.0445355
Chile,13218.24842
China,11122.50244
Colombia,6309.614394
Comoros,1361.975627
"Congo, Dem. Rep.",479.3822419
"Congo, Rep.",1456.127274
Costa Rica,12109.2751
Cote d'Ivoire,2263.82057
Croatia,15531.29284
Cuba,
Cyprus,25921.59766
Czech Republic,19260.68488
Denmark,60399.98573
Djibouti,
Dominica,
Dominican Republic,8029.36339
East Timor,821.9264634
Ecuador,5402.323682
"Egypt, Arab Rep.",3785.070282
El Salvador,3966.637027
Eritrea,
Estonia,21315.49504
Eswatini,3601.207108
Ethiopia(excludes Eritrea),830.5962596
Faeroe Islands,
Fiji,
Finland,46987.72143
Fm Sudan,1672.84314
France,39168.65575
French Polynesia,
Gabon,4658.242951
"Gambia, The",649.1282253
Georgia,4608.530114
Germany,44236.98694
Ghana,1958.641389
Greece,18826.87286
Greenland,
Grenada,
Guatemala,4284.467845
Guinea,832.4510521
Guinea-Bissau,
Guyana,
Honduras,2215.809977
"Hong Kong, China",
Hungary,15068.42983
Iceland,
India,1922.195749
Indonesia,3784.332566
"Iran, Islamic Rep.",
Iraq,4082.792325
Ireland,68526.7536
Israel,40170.19433
Italy,32202.844
Jamaica,4830.30011
Japan,37219.02775
Jordan,
Kazakhstan,9620.708296
Kenya,1675.8816
Kiribati,
"Korea, Rep.",33085.44662
Kuwait,
Kyrgyz Republic,1056.301861
Lao PDR,
Latvia,16278.10551
Lebanon,5713.498297
Lesotho,
Libya,
Lithuania,17552.97
Luxembourg,73841.18852
Macao,40340.23448
Madagascar,439.6943448
Malawi,
Malaysia,10288.18971
Maldives,8904.888562
Mali,709.7605568
Malta,26306.49054
Mauritania,1577.455166
Mauritius,9809.955902
Mexico,9270.703687
"Micronesia, Fed. Sts.",
Moldova,3734.796959
Mongolia,3381.709932
Montenegro,7551.637199
Morocco,3245.534668
Mozambique,561.4300321
Myanmar,1286.601941
Namibia,4123.692332
Nepal,1049.212329
Netherlands,47224.22174
New Caledonia,
New Zealand,40316.81274
Nicaragua,1941.322245
Niger,
Nigeria,2333.452902
North Macedonia,5116.955715
Norway,79746.83068
Occ.Pal.Terr,3657.638356
Oman,17077.90997
Pakistan,1454.505293
Palau,
Panama,
Papua New Guinea,
Paraguay,6040.066707
Peru,5914.921743
Philippines,3436.713703
Poland,15098.22479
Portugal,20582.0981
Qatar,
Romania,11363.67768
Russian Federation,10045.69727
Rwanda,871.8630008
Samoa,3785.978447
Sao Tome and Principe,
Saudi Arabia,20016.53326
Senegal,1405.154882
"Serbia, FR(Serbia/Montenegro)",6830.405852
Seychelles,14855.36407
Sierra Leone,610.1206381
Singapore,
Slovak Republic,
Slovenia,24399.42243
Solomon Islands,
South Africa,5827.417705
Spain,26263.10928
Sri Lanka,4235.269694
St. Kitts and Nevis,
St. Lucia,
St. Vincent and the Grenadines,
Suriname,
Sweden,56581.6896
Switzerland,85439.26046
Syrian Arab Republic,
Tajikistan,1518.686443
Tanzania,1022.612
Thailand,
Togo,865.4391042
Tonga,4724.096259
Trinidad and Tobago,
Tunisia,3729.896162
Turkey,
Turkmenistan,
Turks and Caicos Isl.,
Tuvalu,
Uganda,904.1496232
Ukraine,2383.205811
United Arab Emirates,
United Kingdom,45136.14158
United States,63086.2398
Uruguay,15522.06612
Uzbekistan,
Vanuatu,2991.286009
Venezuela,
Vietnam,3227.558998
Yemen,
Zambia,
Zimbabwe,1250.748745
