Country Name,Year,Transport_pct,Travel_pct,ICT_pct,InsFin_pct,Other,Region
Afghanistan,1988,,,,,100.0,South Asia
Armenia,1988,,,,,100.0,West Asia
Azerbaijan,1988,,,,,100.0,West Asia
Bahrain,1988,23.68655387,12.70406649,,,63.60937964,West Asia
Bangladesh,1988,12.92941611,5.792166024,,0.073449501,81.20496837,South Asia
Bhutan,1988,,,,,100.0,South Asia
Brunei,1988,,,,,100.0,Southeast Asia
Cambodia,1988,,,,,100.0,Southeast Asia
China,1988,43.67718704,38.0639695,0.494030465,7.307773777,10.45703922,East Asia
Cyprus,1988,16.91762622,68.59167405,0.774252315,,13.71644742,West Asia
Georgia,1988,,,,,100.0,West Asia
"Hong Kong, China",1988,,,,,100.0,East Asia
India,1988,23.24609381,37.82870289,,1.91941265,37.00579065,South Asia
Indonesia,1988,3.214024836,93.71804237,,,3.067932798,Southeast Asia
"Iran, Islamic Rep.",1988,26.31578947,5.263157895,,34.44976077,33.97129187,West Asia
Israel,1988,29.07610017,32.73766107,4.573673489,0.221249696,33.39131557,West Asia
Japan,1988,,,,,100.0,East Asia
Jordan,1988,29.10873856,44.41279618,,,26.47846526,West Asia
Kazakhstan,1988,,,,,100.0,Central Asia
"Korea, Rep.",1988,32.67241865,35.14013421,3.246391708,0.266170417,28.67488501,East Asia
Kuwait,1988,88.59315589,11.40684411,,,0.0,West Asia
Kyrgyz Republic,1988,,,,,100.0,Central Asia
Lao PDR,1988,89.85507246,8.695652174,,1.449275362,2.84e-14,Southeast Asia
Lebanon,1988,,,,,100.0,West Asia
Malaysia,1988,48.3768407,33.73493976,,0.100401606,17.78781794,Southeast Asia
Maldives,1988,15.97502472,77.98470538,,1.219397211,4.820872696,South Asia
Mongolia,1988,27.57158006,5.090137858,,3.075291622,64.26299046,East Asia
Myanmar,1988,11.45428945,26.03431553,,,62.51139502,Southeast Asia
Nepal,1988,3.668397216,58.52084699,,,37.81075579,South Asia
Oman,1988,100.0,,,,0.0,West Asia
Pakistan,1988,44.65329213,20.61032852,,0.601708465,34.13467089,South Asia
Philippines,1988,10.86956522,20.00988142,,0.64229249,68.47826087,Southeast Asia
Qatar,1988,,,,,100.0,West Asia
Russian Federation,1988,,,,,100.0,North Asia
Saudi Arabia,1988,,,,,100.0,West Asia
Singapore,1988,21.30964264,35.78891329,,1.317628269,41.5838158,Southeast Asia
Sri Lanka,1988,38.7133763,20.77452128,,3.737511254,36.77459117,South Asia
Syrian Arab Republic,1988,35.41666667,50.37878788,,,14.20454545,West Asia
Tajikistan,1988,,,,,100.0,Central Asia
Thailand,1988,21.90085466,69.01760692,,0.133787515,8.947750898,Southeast Asia
Turkey,1988,15.07293355,42.40950837,,,42.51755808,West Asia
Turkmenistan,1988,,,,,100.0,Central Asia
United Arab Emirates,1988,,,,,100.0,West Asia
Uzbekistan,1988,,,,,100.0,Central Asia
